Date,Open,High,Low,Close,Price,Change %
1981-01-01,1.9235,1.9235,1.9235,1.9235,1.9235,8.06%
1981-02-01,1.961,1.961,1.961,1.961,1.961,1.95%
1981-03-01,1.9115,1.9115,1.9115,1.9115,1.9115,-2.52%
1981-04-01,2.0162,2.0162,2.0162,2.0162,2.0162,5.48%
1981-05-01,2.0732,2.0732,2.0732,2.0732,2.0732,2.83%
1981-06-01,2.0387,2.0387,2.0387,2.0387,2.0387,-1.66%
1981-07-01,2.14,2.14,2.14,2.14,2.14,4.97%
1981-08-01,2.1345,2.1345,2.1345,2.1345,2.1345,-0.26%
1981-09-01,1.9705,1.9705,1.9705,1.9705,1.9705,-7.68%
1981-10-01,1.852,1.852,1.852,1.852,1.852,-6.01%
1981-11-01,1.7672,1.7672,1.7672,1.7672,1.7672,-4.58%
1981-12-01,1.796,1.796,1.796,1.796,1.796,1.63%
1982-01-01,1.8575,1.8575,1.8575,1.8575,1.8575,3.42%
1982-02-01,1.899,1.899,1.899,1.899,1.899,2.23%
1982-03-01,1.9385,1.9385,1.9385,1.9385,1.9385,2.08%
1982-04-01,1.957,1.957,1.957,1.957,1.957,0.95%
1982-05-01,1.9975,1.9975,1.9975,1.9975,1.9975,2.07%
1982-06-01,2.0995,2.0995,2.0995,2.0995,2.0995,5.11%
1982-07-01,2.1,2.1,2.1,2.1,2.1,0.02%
1982-08-01,2.127,2.127,2.127,2.127,2.127,1.29%
1982-09-01,2.171,2.171,2.171,2.171,2.171,2.07%
1982-10-01,2.2075,2.2075,2.2075,2.2075,2.2075,1.68%
1982-11-01,2.1175,2.1175,2.1175,2.1175,2.1175,-4.08%
1982-12-01,2.0075,2.0075,2.0075,2.0075,2.0075,-5.19%
1983-01-01,2.015,2.015,2.015,2.015,2.015,0.37%
1983-02-01,2.0625,2.0625,2.0625,2.0625,2.0625,2.36%
1983-03-01,2.0855,2.0855,2.0855,2.0855,2.0855,1.12%
1983-04-01,2.073,2.073,2.073,2.073,2.073,-0.60%
1983-05-01,2.096,2.096,2.096,2.096,2.096,1.11%
1983-06-01,2.1025,2.1025,2.1025,2.1025,2.1025,0.31%
1983-07-01,2.1345,2.1345,2.1345,2.1345,2.1345,1.52%
1983-08-01,2.187,2.187,2.187,2.187,2.187,2.46%
1983-09-01,2.12,2.12,2.12,2.12,2.12,-3.06%
1983-10-01,2.143,2.143,2.143,2.143,2.143,1.08%
1983-11-01,2.1615,2.1615,2.1615,2.1615,2.1615,0.86%
1983-12-01,2.179,2.179,2.179,2.179,2.179,0.81%
1984-01-01,2.253,2.253,2.253,2.253,2.253,3.40%
1984-02-01,2.168,2.168,2.168,2.168,2.168,-3.77%
1984-03-01,2.1525,2.1525,2.1525,2.1525,2.1525,-0.71%
1984-04-01,2.2465,2.2465,2.2465,2.2465,2.2465,4.37%
1984-05-01,2.26,2.26,2.26,2.26,2.26,0.60%
1984-06-01,2.331,2.331,2.331,2.331,2.331,3.14%
1984-07-01,2.4725,2.4725,2.4725,2.4725,2.4725,6.07%
1984-08-01,2.4095,2.4095,2.4095,2.4095,2.4095,-2.55%
1984-09-01,2.533,2.533,2.533,2.533,2.533,5.13%
1984-10-01,2.494,2.494,2.494,2.494,2.494,-1.54%
1984-11-01,2.555,2.555,2.555,2.555,2.555,2.45%
1984-12-01,2.601,2.601,2.601,2.601,2.601,1.80%
1985-01-01,2.675,2.675,2.675,2.675,2.675,2.85%
1985-02-01,2.857,2.857,2.857,2.857,2.857,6.80%
1985-03-01,2.6,2.6,2.6,2.6,2.6,-9.00%
1985-04-01,2.6,2.6,2.6,2.6,2.6,0.00%
1985-05-01,2.575,2.575,2.575,2.575,2.575,-0.96%
1985-06-01,2.541,2.541,2.541,2.541,2.541,-1.32%
1985-07-01,2.294,2.294,2.294,2.294,2.294,-9.72%
1985-08-01,2.31,2.31,2.31,2.31,2.31,0.70%
1985-09-01,2.195,2.195,2.195,2.195,2.195,-4.98%
1985-10-01,2.151,2.151,2.151,2.151,2.151,-2.00%
1985-11-01,2.081,2.081,2.081,2.081,2.081,-3.25%
1985-12-01,2.06,2.06,2.06,2.06,2.06,-1.01%
1986-01-01,2.026,2.026,2.026,2.026,2.026,-1.65%
1986-02-01,1.888,1.888,1.888,1.888,1.888,-6.81%
1986-03-01,1.956,1.956,1.956,1.956,1.956,3.60%
1986-04-01,1.813,1.813,1.813,1.813,1.813,-7.31%
1986-05-01,1.9335,1.9335,1.9335,1.9335,1.9335,6.65%
1986-06-01,1.7965,1.7965,1.7965,1.7965,1.7965,-7.09%
1986-07-01,1.678,1.678,1.678,1.678,1.678,-6.60%
1986-08-01,1.641,1.641,1.641,1.641,1.641,-2.21%
1986-09-01,1.647,1.647,1.647,1.647,1.647,0.37%
1986-10-01,1.711,1.711,1.711,1.711,1.711,3.89%
1986-11-01,1.643,1.643,1.643,1.643,1.643,-3.97%
1986-12-01,1.614,1.614,1.614,1.614,1.614,-1.77%
1987-01-01,1.544,1.6329,1.479,1.544,1.544,-4.34%
1987-02-01,1.537,1.5805,1.5053,1.537,1.537,-0.45%
1987-03-01,1.508,1.5703,1.4865,1.508,1.508,-1.89%
1987-04-01,1.4688,1.5319,1.4425,1.4688,1.4688,-2.60%
1987-05-01,1.5053,1.5168,1.4433,1.5053,1.5053,2.49%
1987-06-01,1.5151,1.5377,1.4706,1.5151,1.5151,0.65%
1987-07-01,1.5386,1.5544,1.5074,1.5386,1.5386,1.55%
1987-08-01,1.5011,1.5813,1.4852,1.5011,1.5011,-2.44%
1987-09-01,1.5358,1.5385,1.4765,1.5358,1.5358,2.31%
1987-10-01,1.4374,1.5406,1.4227,1.4374,1.4374,-6.41%
1987-11-01,1.3437,1.4241,1.3376,1.3437,1.3437,-6.52%
1987-12-01,1.2681,1.371,1.2674,1.2681,1.2681,-5.63%
1988-01-01,1.3685,1.3857,1.2616,1.3685,1.3685,7.92%
1988-02-01,1.3904,1.4198,1.3677,1.3904,1.3904,1.60%
1988-03-01,1.3652,1.4091,1.3596,1.3652,1.3652,-1.81%
1988-04-01,1.3958,1.4096,1.3549,1.3958,1.3958,2.24%
1988-05-01,1.4449,1.4463,1.3899,1.4449,1.4449,3.52%
