Date,  Open  , High   ,  Low   , Close  , Adj Close  
2018-06-15,17750.43,17775.41,17642.76,17664.08,17664.08
2018-06-14,17566.23,17770.41,17504.11,17762.67,17762.67
2018-06-13,17687.91,17695.44,17614.54,17647.76,17647.76
2018-06-12,17672.82,17698,17587.05,17660.41,17660.41
2018-06-11,17511.24,17627.34,17510.63,17625.13,17625.13
2018-06-08,17344.36,17472.87,17283.75,17397.28,17397.28
2018-06-07,17527.05,17603.35,17401.31,17471.4,17471.4
2018-06-06,17438.07,17510.75,17311.62,17464.59,17464.59
2018-06-05,17593.66,17642.15,17450.92,17450.92,17450.92
2018-06-04,17708.12,17715.65,17588.71,17647.35,17647.35
2018-06-01,17491.87,17669.68,17433.55,17614.92,17614.92
2018-05-31,17639.61,17662.09,17279.19,17284.65,17284.65
2018-05-30,17637.9,17688.56,17533.45,17533.45,17533.45
2018-05-29,17829.47,17853.78,17604.07,17653.05,17653.05
2018-05-28,17951.14,18022.02,17907.97,17935.6,17935.6
2018-05-25,17959.74,18052.74,17897.68,17897.68,17897.68
2018-05-24,17972.67,18065.12,17846.28,17921.92,17921.92
2018-05-23,18190.44,18192.21,17912.89,17970.94,17970.94
2018-05-22,18343.91,18345.88,18235.31,18259.34,18259.34
2018-05-18,18269.95,18354.96,18221.92,18268.3,18268.3
2018-05-17,18309.91,18366.11,18262.29,18366.11,18366.11
2018-05-16,18365.98,18395.67,18290.41,18336.58,18336.58
2018-05-15,18363.03,18423.25,18316.21,18378.15,18378.15
2018-05-14,18411.47,18442.84,18348.89,18391.78,18391.78
2018-05-11,18354.11,18394.36,18318.27,18376.7,18376.7
2018-05-09,18299.03,18338.91,18220.7,18338.91,18338.91
2018-05-08,18247.67,18311.51,18195.26,18258.89,18258.89
2018-05-07,18154.21,18325.69,18153.32,18323.83,18323.83
2018-05-04,18039.13,18126.96,18001.32,18122.83,18122.83
2018-05-03,18047.77,18152.14,17981.19,17985.27,17985.27
2018-05-02,18063.54,18103.74,18018.2,18095.09,18095.09
2018-04-30,17979.81,18103.87,17974.21,18074.71,18074.71
2018-04-27,17976.9,17999.95,17914.15,17986.76,17986.76
2018-04-26,17764.96,17974.19,17747.06,17970.5,17970.5
2018-04-25,17855.52,17881.91,17668.02,17770.29,17770.29
2018-04-24,17891.95,17957.91,17817.29,17875.81,17875.81
2018-04-23,17815.33,17866.86,17721.95,17865.36,17865.36
2018-04-20,17904.28,17937.36,17822.42,17867.73,17867.73
2018-04-19,17999.89,17999.89,17852.21,17919.22,17919.22
2018-04-18,17915.66,18052.44,17862.65,17912.02,17912.02
2018-04-17,17701.09,17912.37,17700.04,17888,17888
2018-04-16,17770.93,17788.62,17623.46,17698.38,17698.38
2018-04-13,17695.64,17742.25,17631.62,17698.56,17698.56
2018-04-12,17588.29,17713.53,17513.24,17689.75,17689.75
2018-04-11,17628.71,17638.42,17530.94,17556.04,17556.04
2018-04-10,17602.46,17653.63,17545.76,17651.06,17651.06
2018-04-09,17528.47,17632.31,17458.37,17512.99,17512.99
2018-04-06,17505.8,17592.63,17469.8,17480.65,17480.65
2018-04-05,17426.3,17555.02,17352.84,17555.02,17555.02
2018-04-04,17323.49,17326.94,17110.89,17175.69,17175.69
2018-04-03,17407.98,17424.52,17267.09,17303.84,17303.84
2018-03-29,17576.06,17602.75,17471.92,17524.46,17524.46
2018-03-28,17174.34,17554.83,17086.11,17554.83,17554.83
2018-03-27,17284.37,17363.54,17228.57,17318.85,17318.85
2018-03-26,17249.15,17378.17,17043.68,17059.96,17059.96
2018-03-23,17229.03,17311.88,17131.15,17171.09,17171.09
2018-03-22,17496.82,17529.54,17285.03,17308.94,17308.94
2018-03-21,17735.57,17759.23,17558.29,17601.16,17601.16
2018-03-20,17706.59,17721.45,17571.68,17721.09,17721.09
2018-03-19,17754.26,17791.92,17622.3,17649.06,17649.06
2018-03-16,17765.79,17838,17747.73,17791.66,17791.66
2018-03-15,17735.19,17820.67,17646.2,17784.56,17784.56
2018-03-14,17668.27,17791.42,17626.26,17652.66,17652.66
2018-03-13,17836.47,17900.54,17645.94,17675.72,17675.72
2018-03-12,17839.41,17878.7,17778.46,17854.5,17854.5
2018-03-09,17685.71,17800.94,17674.69,17777.09,17777.09
2018-03-08,17493.63,17710.12,17492.8,17706.57,17706.57
2018-03-07,17393.87,17515.09,17335.13,17484.48,17484.48
2018-03-06,17602.84,17634.44,17446.75,17446.75,17446.75
2018-03-05,17058.06,17418.93,17054.39,17418.93,17418.93
2018-03-02,17247.86,17265.63,17032.52,17063.24,17063.24
2018-03-01,17558.86,17581.09,17352.85,17387.3,17387.3
2018-02-28,17718.73,17752.39,17612.73,17612.73,17612.73
2018-02-27,17908.38,17911.2,17734.04,17783.09,17783.09
2018-02-26,17754.19,17849.52,17724.66,17849.52,17849.52
2018-02-23,17696.5,17709.02,17595.3,17695.42,17695.42
2018-02-22,17662.52,17733.46,17598.59,17733.46,17733.46
2018-02-21,17709.86,17787.43,17602.86,17776.1,17776.1
2018-02-20,17663.72,17761.07,17597.11,17761.07,17761.07
2018-02-19,17757.17,17763.49,17595.83,17617.23,17617.23
2018-02-16,17721.48,17777.15,17680.89,17771.61,17771.61
2018-02-15,17598.07,17678.93,17575.22,17635.32,17635.32
2018-02-14,17431.19,17602.34,17300.24,17598.35,17598.35
2018-02-13,17438.51,17492.02,17308.71,17308.71,17308.71
2018-02-12,17395.51,17514.84,17364.28,17446.23,17446.23
2018-02-09,17391.37,17424.12,17133.47,17169.01,17169.01
2018-02-08,17722.4,17784.08,17329.42,17329.42,17329.42
2018-02-07,17585.07,17811.48,17535.49,17748.45,17748.45
2018-02-06,17346.8,17763.07,17269.03,17474.96,17474.96
2018-02-05,18039.78,18090.31,17966.75,17996.4,17996.4
2018-02-02,18330.76,18336.75,18234.3,18234.3,18234.3
2018-02-01,18561.23,18637.45,18367.51,18373.18,18373.18
2018-01-31,18618.63,18688.32,18461.14,18461.14,18461.14
2018-01-30,18675.53,18785.86,18569.43,18654.82,18654.82
2018-01-29,18820.71,18842.66,18691.54,18702.14,18702.14
2018-01-26,18786.74,18893.21,18780.05,18817.41,18817.41
2018-01-25,18822.08,18920.5,18735.71,18752.95,18752.95
2018-01-24,18924.54,19016.8,18880.72,18880.72,18880.72
2018-01-23,18873.64,18973.24,18844.21,18888.65,18888.65
2018-01-22,18787.33,18844.25,18737.33,18844.25,18844.25
2018-01-19,18693.34,18809.26,18682.85,18805.96,18805.96
2018-01-18,18760.58,18775.84,18653.14,18692.41,18692.41
2018-01-17,18643.48,18728.36,18632.49,18668.02,18668.02
2018-01-16,18853.23,18919.61,18715.56,18715.56,18715.56
2018-01-15,18855.18,18887.65,18809.81,18860.37,18860.37
2018-01-12,18829.6,18908.44,18804.43,18878.82,18878.82
2018-01-11,18857.46,18895.25,18737.55,18794.25,18794.25
2018-01-10,18961.61,18976.05,18799.04,18836.01,18836.01
2018-01-09,18900.09,19007.35,18894.38,19007.35,19007.35
2018-01-08,18938.52,18953.79,18862.51,18869.17,18869.17
2018-01-05,18871.94,18902.13,18840.14,18899.32,18899.32
2018-01-04,18781.19,18834.02,18723.09,18804.99,18804.99
2018-01-03,18661.97,18762.48,18577.95,18744.96,18744.96
2017-12-29,18543.53,18585.47,18506.1,18553.04,18553.04
2017-12-28,18651.56,18661.18,18591.63,18600.36,18600.36
2017-12-27,18561.6,18680.65,18561.6,18649.09,18649.09
2017-12-22,18607.9,18666.24,18565.25,18577.99,18577.99
2017-12-21,18399.55,18655.06,18367.55,18637.68,18637.68
2017-12-20,18573.9,18603.85,18420.46,18420.46,18420.46
2017-12-19,18693.15,18725.02,18587.24,18587.24,18587.24
