Date,Open,High,Low,Close,Price,Change %
1991-01-02,1.261,1.278,1.257,1.2615,1.2615,-0.75%
1991-01-03,1.265,1.2693,1.258,1.2655,1.2655,0.32%
1991-01-04,1.274,1.2784,1.2587,1.2744,1.2744,0.70%
1991-01-07,1.2918,1.3045,1.277,1.2923,1.2923,1.40%
1991-01-08,1.2965,1.2985,1.286,1.297,1.297,0.36%
1991-01-09,1.291,1.3005,1.27,1.2915,1.2915,-0.42%
1991-01-10,1.2823,1.2925,1.273,1.2828,1.2828,-0.67%
1991-01-11,1.2785,1.2905,1.273,1.279,1.279,-0.30%
1991-01-14,1.282,1.2935,1.2785,1.2825,1.2825,0.27%
1991-01-15,1.2847,1.29,1.28,1.2852,1.2852,0.21%
1991-01-16,1.2885,1.2945,1.283,1.289,1.289,0.30%
1991-01-17,1.2687,1.2935,1.2655,1.2692,1.2692,-1.54%
1991-01-18,1.255,1.278,1.2535,1.2555,1.2555,-1.08%
1991-01-21,1.2505,1.268,1.2445,1.251,1.251,-0.36%
1991-01-22,1.2595,1.262,1.247,1.26,1.26,0.72%
1991-01-23,1.25,1.267,1.247,1.2505,1.2505,-0.75%
1991-01-24,1.2575,1.259,1.2478,1.258,1.258,0.60%
1991-01-25,1.262,1.266,1.2513,1.2625,1.2625,0.36%
1991-01-28,1.2612,1.264,1.257,1.2617,1.2617,-0.06%
1991-01-29,1.267,1.269,1.254,1.2675,1.2675,0.46%
1991-01-30,1.262,1.274,1.259,1.2625,1.2625,-0.39%
1991-01-31,1.2572,1.2665,1.2535,1.2577,1.2577,-0.38%
1991-02-01,1.2508,1.2625,1.248,1.2513,1.2513,-0.51%
1991-02-04,1.25,1.2575,1.245,1.2505,1.2505,-0.06%
1991-02-05,1.243,1.2533,1.242,1.2435,1.2435,-0.56%
1991-02-06,1.232,1.2465,1.23,1.2325,1.2325,-0.88%
1991-02-07,1.2425,1.2445,1.2315,1.243,1.243,0.85%
1991-02-08,1.2425,1.2487,1.24,1.243,1.243,0.00%
1991-02-11,1.2365,1.245,1.232,1.237,1.237,-0.48%
1991-02-12,1.2465,1.2483,1.2347,1.247,1.247,0.81%
1991-02-13,1.2525,1.2549,1.2433,1.2529,1.2529,0.47%
1991-02-14,1.256,1.2605,1.249,1.2565,1.2565,0.29%
1991-02-15,1.2687,1.2725,1.254,1.2692,1.2692,1.01%
1991-02-18,1.2705,1.2735,1.263,1.271,1.271,0.14%
1991-02-19,1.2781,1.2813,1.2673,1.2784,1.2784,0.58%
1991-02-20,1.2782,1.284,1.271,1.2787,1.2787,0.02%
1991-02-21,1.2745,1.2807,1.2695,1.275,1.275,-0.29%
