Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,14.340000,14.340000,14.340000,14.340000,4.975140,0
1980-01-03,14.270000,14.270000,14.270000,14.270000,4.950856,0
1980-01-04,14.450000,14.450000,14.450000,14.450000,5.013302,0
1980-01-07,14.490000,14.490000,14.490000,14.490000,5.027181,0
1980-01-08,14.780000,14.780000,14.780000,14.780000,5.127796,0
1980-01-09,14.800000,14.800000,14.800000,14.800000,5.134734,0
1980-01-10,14.910000,14.910000,14.910000,14.910000,5.172899,0
1980-01-11,14.910000,14.910000,14.910000,14.910000,5.172899,0
1980-01-14,14.980000,14.980000,14.980000,14.980000,5.197181,0
1980-01-15,15.080000,15.080000,15.080000,15.080000,5.231877,0
1980-01-16,15.070000,15.070000,15.070000,15.070000,5.228406,0
1980-01-17,15.020000,15.020000,15.020000,15.020000,5.211060,0
1980-01-18,15.070000,15.070000,15.070000,15.070000,5.228406,0
1980-01-21,15.210000,15.210000,15.210000,15.210000,5.276978,0
1980-01-22,15.140000,15.140000,15.140000,15.140000,5.252691,0
1980-01-23,15.400000,15.400000,15.400000,15.400000,5.342895,0
1980-01-24,15.430000,15.430000,15.430000,15.430000,5.353303,0
1980-01-25,15.420000,15.420000,15.420000,15.420000,5.349838,0
1980-01-28,15.600000,15.600000,15.600000,15.600000,5.412288,0
1980-01-29,15.490000,15.490000,15.490000,15.490000,5.374124,0
1980-01-30,15.650000,15.650000,15.650000,15.650000,5.429633,0
1980-01-31,15.510000,15.510000,15.510000,15.510000,5.381057,0
1980-02-01,15.650000,15.650000,15.650000,15.650000,5.429633,0
1980-02-04,15.570000,15.570000,15.570000,15.570000,5.401872,0
1980-02-05,15.620000,15.620000,15.620000,15.620000,5.419225,0
1980-02-06,15.770000,15.770000,15.770000,15.770000,5.471268,0
1980-02-07,15.850000,15.850000,15.850000,15.850000,5.499024,0
1980-02-08,16.090000,16.090000,16.090000,16.090000,5.582289,0
1980-02-11,15.980000,15.980000,15.980000,15.980000,5.544124,0
1980-02-12,16.080000,16.080000,16.080000,16.080000,5.578817,0
1980-02-13,16.160000,16.160000,16.160000,16.160000,5.606571,0
1980-02-14,15.930000,15.930000,15.930000,15.930000,5.526778,0
1980-02-15,15.760000,15.760000,15.760000,15.760000,5.467795,0
1980-02-19,15.650000,15.650000,15.650000,15.650000,5.429633,0
1980-02-20,15.910000,15.910000,15.910000,15.910000,5.519838,0
1980-02-21,15.750000,15.750000,15.750000,15.750000,5.464329,0
1980-02-22,15.710000,15.710000,15.710000,15.710000,5.450449,0
1980-02-25,15.510000,15.510000,15.510000,15.510000,5.381057,0
1980-02-26,15.600000,15.600000,15.600000,15.600000,5.412288,0
1980-02-27,15.390000,15.390000,15.390000,15.390000,5.339427,0
1980-02-28,15.380000,15.380000,15.380000,15.380000,5.335960,0
1980-02-29,15.570000,15.570000,15.570000,15.570000,5.401872,0
1980-03-03,15.410000,15.410000,15.410000,15.410000,5.346371,0
1980-03-04,15.460000,15.460000,15.460000,15.460000,5.363712,0
1980-03-05,15.240000,15.240000,15.240000,15.240000,5.287385,0
1980-03-06,14.900000,14.900000,14.900000,14.900000,5.169425,0
1980-03-07,14.670000,14.670000,14.670000,14.670000,5.089630,0
1980-03-10,14.630000,14.630000,14.630000,14.630000,5.075753,0
1980-03-11,14.800000,14.800000,14.800000,14.800000,5.134734,0
1980-03-12,14.680000,14.680000,14.680000,14.680000,5.093100,0
1980-03-13,14.510000,14.510000,14.510000,14.510000,5.034119,0
1980-03-14,14.480000,14.480000,14.480000,14.480000,5.023712,0
1980-03-17,14.050000,14.050000,14.050000,14.050000,4.874527,0
1980-03-18,14.300000,14.300000,14.300000,14.300000,4.961262,0
1980-03-19,14.330000,14.330000,14.330000,14.330000,4.971669,0
1980-03-20,14.160000,14.160000,14.160000,14.160000,4.912690,0
1980-03-21,14.060000,14.060000,14.060000,14.060000,4.877996,0
1980-03-24,13.650000,13.650000,13.650000,13.650000,4.735751,0
1980-03-25,13.640000,13.640000,13.640000,13.640000,4.732281,0
1980-03-26,13.570000,13.570000,13.570000,13.570000,4.707995,0
1980-03-27,13.690000,13.690000,13.690000,13.690000,4.806298,0
1980-03-28,13.690000,13.690000,13.690000,13.690000,4.806298,0
1980-03-31,13.880000,13.880000,13.880000,13.880000,4.873000,0
1980-04-01,13.890000,13.890000,13.890000,13.890000,4.876514,0
1980-04-02,13.960000,13.960000,13.960000,13.960000,4.901089,0
1980-04-03,13.890000,13.890000,13.890000,13.890000,4.876514,0
1980-04-07,13.620000,13.620000,13.620000,13.620000,4.781722,0
1980-04-08,13.760000,13.760000,13.760000,13.760000,4.830873,0
1980-04-09,14.020000,14.020000,14.020000,14.020000,4.922155,0
1980-04-10,14.150000,14.150000,14.150000,14.150000,4.967794,0
1980-04-11,14.110000,14.110000,14.110000,14.110000,4.953747,0
1980-04-14,13.990000,13.990000,13.990000,13.990000,4.911622,0
1980-04-15,13.970000,13.970000,13.970000,13.970000,4.904601,0
1980-04-16,13.820000,13.820000,13.820000,13.820000,4.851937,0
1980-04-17,13.750000,13.750000,13.750000,13.750000,4.827361,0
1980-04-18,13.680000,13.680000,13.680000,13.680000,4.802788,0
1980-04-21,13.590000,13.590000,13.590000,13.590000,4.771190,0
1980-04-22,14.070000,14.070000,14.070000,14.070000,4.939707,0
1980-04-23,14.120000,14.120000,14.120000,14.120000,4.957263,0
1980-04-24,14.200000,14.200000,14.200000,14.200000,4.985348,0
1980-04-25,14.310000,14.310000,14.310000,14.310000,5.023969,0
1980-04-28,14.380000,14.380000,14.380000,14.380000,5.048545,0
1980-04-29,14.420000,14.420000,14.420000,14.420000,5.062587,0
1980-04-30,14.480000,14.480000,14.480000,14.480000,5.083652,0
1980-05-01,14.370000,14.370000,14.370000,14.370000,5.045033,0
1980-05-02,14.390000,14.390000,14.390000,14.390000,5.052053,0
1980-05-05,14.520000,14.520000,14.520000,14.520000,5.097696,0
1980-05-06,14.500000,14.500000,14.500000,14.500000,5.090672,0
1980-05-07,14.640000,14.640000,14.640000,14.640000,5.139824,0
1980-05-08,14.510000,14.510000,14.510000,14.510000,5.094184,0
1980-05-09,14.330000,14.330000,14.330000,14.330000,5.030989,0
1980-05-12,14.340000,14.340000,14.340000,14.340000,5.034500,0
1980-05-13,14.550000,14.550000,14.550000,14.550000,5.108228,0
1980-05-14,14.620000,14.620000,14.620000,14.620000,5.132802,0
1980-05-15,14.640000,14.640000,14.640000,14.640000,5.139824,0
1980-05-16,14.690000,14.690000,14.690000,14.690000,5.157380,0
1980-05-19,14.740000,14.740000,14.740000,14.740000,5.174935,0
1980-05-20,14.740000,14.740000,14.740000,14.740000,5.174935,0
1980-05-21,14.760000,14.760000,14.760000,14.760000,5.181953,0
1980-05-22,14.940000,14.940000,14.940000,14.940000,5.245149,0
1980-05-23,15.180000,15.180000,15.180000,15.180000,5.329409,0
1980-05-27,15.300000,15.300000,15.300000,15.300000,5.371539,0
1980-05-28,15.390000,15.390000,15.390000,15.390000,5.403136,0
1980-05-29,15.150000,15.150000,15.150000,15.150000,5.318876,0
1980-05-30,15.280000,15.280000,15.280000,15.280000,5.364515,0
1980-06-02,15.220000,15.220000,15.220000,15.220000,5.343451,0
1980-06-03,15.220000,15.220000,15.220000,15.220000,5.343451,0
1980-06-04,15.470000,15.470000,15.470000,15.470000,5.431221,0
1980-06-05,15.500000,15.500000,15.500000,15.500000,5.441753,0
1980-06-06,15.550000,15.550000,15.550000,15.550000,5.459308,0
1980-06-09,15.630000,15.630000,15.630000,15.630000,5.487396,0
1980-06-10,15.760000,15.760000,15.760000,15.760000,5.533034,0
1980-06-11,15.950000,15.950000,15.950000,15.950000,5.599743,0
1980-06-12,15.880000,15.880000,15.880000,15.880000,5.575163,0
1980-06-13,15.920000,15.920000,15.920000,15.920000,5.589204,0
1980-06-16,15.960000,15.960000,15.960000,15.960000,5.603248,0
1980-06-17,15.950000,15.950000,15.950000,15.950000,5.599743,0
1980-06-18,15.980000,15.980000,15.980000,15.980000,5.610272,0
1980-06-19,15.770000,15.770000,15.770000,15.770000,5.536547,0
1980-06-20,15.680000,15.680000,15.680000,15.680000,5.504949,0
1980-06-23,15.750000,15.750000,15.750000,15.750000,5.529527,0
1980-06-24,15.840000,15.840000,15.840000,15.840000,5.561124,0
1980-06-25,16.049999,16.049999,16.049999,16.049999,5.634847,0
1980-06-26,15.980000,15.980000,15.980000,15.980000,5.610272,0
1980-06-27,15.790000,15.790000,15.790000,15.790000,5.599633,0
1980-06-30,15.550000,15.550000,15.550000,15.550000,5.514520,0
1980-07-01,15.650000,15.650000,15.650000,15.650000,5.549985,0
1980-07-02,15.750000,15.750000,15.750000,15.750000,5.585448,0
1980-07-03,15.990000,15.990000,15.990000,15.990000,5.670559,0
1980-07-07,16.100000,16.100000,16.100000,16.100000,5.709571,0
1980-07-08,16.040001,16.040001,16.040001,16.040001,5.688289,0
1980-07-09,16.059999,16.059999,16.059999,16.059999,5.695382,0
1980-07-10,15.910000,15.910000,15.910000,15.910000,5.642188,0
1980-07-11,16.040001,16.040001,16.040001,16.040001,5.688289,0
1980-07-14,16.340000,16.340000,16.340000,16.340000,5.794683,0
1980-07-15,16.340000,16.340000,16.340000,16.340000,5.794683,0
1980-07-16,16.290001,16.290001,16.290001,16.290001,5.776950,0
1980-07-17,16.530001,16.530001,16.530001,16.530001,5.862060,0
1980-07-18,16.610001,16.610001,16.610001,16.610001,5.890433,0
1980-07-21,16.680000,16.680000,16.680000,16.680000,5.915256,0
1980-07-22,16.629999,16.629999,16.629999,16.629999,5.897522,0
1980-07-23,16.590000,16.590000,16.590000,16.590000,5.883339,0
1980-07-24,16.570000,16.570000,16.570000,16.570000,5.876248,0
1980-07-25,16.430000,16.430000,16.430000,16.430000,5.826599,0
1980-07-28,16.530001,16.530001,16.530001,16.530001,5.862060,0
1980-07-29,16.670000,16.670000,16.670000,16.670000,5.911709,0
1980-07-30,16.650000,16.650000,16.650000,16.650000,5.904616,0
1980-07-31,16.580000,16.580000,16.580000,16.580000,5.879794,0
1980-08-01,16.510000,16.510000,16.510000,16.510000,5.854967,0
1980-08-04,16.500000,16.500000,16.500000,16.500000,5.851423,0
1980-08-05,16.469999,16.469999,16.469999,16.469999,5.840781,0
1980-08-06,16.580000,16.580000,16.580000,16.580000,5.879794,0
1980-08-07,16.840000,16.840000,16.840000,16.840000,5.971997,0
1980-08-08,16.889999,16.889999,16.889999,16.889999,5.989729,0
1980-08-11,17.059999,17.059999,17.059999,17.059999,6.050016,0
1980-08-12,16.930000,16.930000,16.930000,16.930000,6.003916,0
1980-08-13,16.860001,16.860001,16.860001,16.860001,5.979091,0
1980-08-14,17.129999,17.129999,17.129999,17.129999,6.074840,0
1980-08-15,17.190001,17.190001,17.190001,17.190001,6.096117,0
1980-08-18,16.879999,16.879999,16.879999,16.879999,5.986181,0
1980-08-19,16.780001,16.780001,16.780001,16.780001,5.950720,0
1980-08-20,16.940001,16.940001,16.940001,16.940001,6.007463,0
1980-08-21,17.170000,17.170000,17.170000,17.170000,6.089025,0
1980-08-22,17.250000,17.250000,17.250000,17.250000,6.117398,0
1980-08-25,17.250000,17.250000,17.250000,17.250000,6.117398,0
1980-08-26,17.120001,17.120001,17.120001,17.120001,6.071293,0
1980-08-27,16.940001,16.940001,16.940001,16.940001,6.007463,0
1980-08-28,16.940001,16.940001,16.940001,16.940001,6.007463,0
1980-08-29,16.790001,16.790001,16.790001,16.790001,5.954268,0
1980-09-02,16.969999,16.969999,16.969999,16.969999,6.018097,0
1980-09-03,17.299999,17.299999,17.299999,17.299999,6.135126,0
1980-09-04,17.209999,17.209999,17.209999,17.209999,6.103209,0
1980-09-05,17.129999,17.129999,17.129999,17.129999,6.074840,0
1980-09-08,16.920000,16.920000,16.920000,16.920000,6.000364,0
1980-09-09,17.030001,17.030001,17.030001,17.030001,6.039378,0
1980-09-10,17.129999,17.129999,17.129999,17.129999,6.074840,0
1980-09-11,17.250000,17.250000,17.250000,17.250000,6.117398,0
1980-09-12,17.230000,17.230000,17.230000,17.230000,6.110305,0
1980-09-15,17.250000,17.250000,17.250000,17.250000,6.117398,0
1980-09-16,17.410000,17.410000,17.410000,17.410000,6.174138,0
1980-09-17,17.700001,17.700001,17.700001,17.700001,6.276978,0
1980-09-18,17.639999,17.639999,17.639999,17.639999,6.255702,0
