SMI-Family
ISIN;CH0009980894;;;;CH0019399820;;;;CH0019399838;;;;CH0019399853;;;;CH0019399861;;;;CH0009987501;CH0017810976
SYMBOL;SMI;;;;SMIMC;;;;SMIM;;;;SMIEXC;;;;SMIEXP;;;;SXGE;SPIEX
NAME;SMI®;;;;SMIM® TR;;;;SMIM PR;;;;SMI Expanded TM TR;;;;SMI Expanded PR;;;;SPI® Gesamt Index TR;SPI Extra® TR
;Price;;;;Total-Return;;;;Price-Index;;;;Total-Return;;;;Price-Index;;;;Total-Return;Total-Return
YTDPerf.%;-8.190;-9.200;-8.270;-9.300;4.520;3.860;4.460;3.520;2.460;1.810;2.400;1.480;-4.000;-5.040;-4.140;-5.170;-6.950;-7.960;-7.090;-8.080;-4.590;2.900;
Date;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Open;Close;High;Low;Close;Close;
18.06.2018;8609.68;8519.57;8621.82;8488.36;3749.77;3716.37;3750.26;3699.61;2663.06;2639.34;2663.41;2627.44;2032.35;2010.17;2032.74;2002.66;1255.24;1241.54;1255.48;1236.91;10258.50;4424.10;
15.06.2018;8684.85;8642.60;8697.07;8632.17;3783.01;3759.55;3790.59;3749.03;2686.67;2670.00;2692.05;2662.53;2049.35;2038.77;2051.06;2036.32;1265.74;1259.21;1266.80;1257.70;10399.71;4470.17;
14.06.2018;8594.72;8690.83;8694.63;8564.33;3750.32;3786.31;3786.92;3737.93;2663.45;2689.01;2689.44;2654.65;2028.17;2049.65;2049.96;2020.59;1252.66;1265.92;1266.12;1247.98;10458.07;4504.90;
13.06.2018;8654.26;8634.61;8657.94;8618.36;3746.62;3763.42;3768.41;3746.24;2663.01;2674.96;2678.51;2662.74;2040.39;2037.38;2040.96;2033.15;1260.36;1258.50;1260.71;1255.89;10400.88;4488.62;
12.06.2018;8646.88;8640.80;8659.19;8604.91;3733.60;3741.19;3745.32;3731.05;2653.76;2659.16;2662.09;2651.95;2037.09;2036.32;2040.04;2028.61;1258.32;1257.85;1260.15;1253.09;10396.23;4472.48;
11.06.2018;8567.82;8623.54;8624.62;8567.52;3711.32;3726.17;3734.83;3711.32;2638.31;2648.87;2655.03;2638.31;2019.73;2031.34;2031.67;2019.36;1247.62;1254.80;1255.00;1247.40;10368.55;4452.54;
08.06.2018;8486.17;8512.06;8549.05;8456.51;3682.81;3697.96;3709.72;3665.43;2618.04;2628.82;2637.18;2605.69;2000.33;2007.18;2015.33;1994.20;1235.64;1239.87;1244.91;1231.85;10250.69;4422.82;
07.06.2018;8575.55;8548.33;8612.88;8514.03;3727.67;3708.60;3741.09;3697.21;2649.94;2636.38;2659.47;2628.28;2023.18;2015.25;2030.29;2007.70;1249.75;1244.86;1254.15;1240.19;10294.48;4442.53;
06.06.2018;8532.02;8544.99;8567.58;8470.15;3694.07;3709.53;3719.96;3688.96;2626.05;2637.04;2644.45;2622.42;2013.66;2015.15;2020.23;1998.34;1243.87;1244.80;1247.94;1234.41;10291.13;4437.44;
05.06.2018;8608.14;8538.31;8631.87;8538.31;3665.77;3678.56;3703.24;3662.81;2605.93;2615.02;2632.57;2603.83;2024.92;2012.24;2032.17;2012.24;1250.83;1243.00;1255.31;1243.00;10274.00;4407.13;
04.06.2018;8664.15;8634.42;8667.83;8605.72;3670.33;3670.76;3673.05;3652.02;2609.17;2609.48;2611.11;2596.16;2036.62;2030.66;2036.76;2024.65;1258.06;1254.38;1258.15;1250.66;10359.75;4399.29;
01.06.2018;8558.34;8618.54;8645.34;8529.80;3636.83;3650.76;3668.72;3632.74;2585.36;2595.26;2608.03;2582.45;2012.39;2025.73;2031.83;2007.20;1243.09;1251.33;1255.10;1239.89;10333.98;4379.04;
31.05.2018;8630.63;8456.95;8641.62;8454.28;3654.62;3616.31;3656.94;3610.66;2598.01;2570.77;2599.65;2566.76;2029.77;1991.49;2031.10;1990.78;1253.83;1230.18;1254.65;1229.75;10164.78;4336.64;
30.05.2018;8629.79;8578.68;8654.57;8578.68;3649.31;3633.95;3663.44;3633.95;2594.23;2583.31;2604.28;2583.31;2030.55;2017.37;2035.29;2017.37;1254.31;1246.17;1257.24;1246.17;10289.04;4354.98;
29.05.2018;8723.52;8637.20;8735.41;8613.24;3680.42;3649.99;3682.16;3634.03;2616.35;2594.71;2617.58;2583.37;2050.45;2030.72;2052.75;2025.35;1266.60;1254.41;1268.02;1251.10;10353.03;4369.56;
28.05.2018;8783.05;8775.45;8817.73;8761.93;3702.58;3700.10;3713.72;3693.95;2632.10;2630.33;2640.02;2625.96;2060.76;2061.76;2070.33;2058.32;1272.97;1273.59;1278.88;1271.46;10505.10;4419.62;
25.05.2018;8789.45;8759.08;8834.96;8759.08;3686.15;3691.42;3710.25;3679.53;2621.88;2625.63;2639.02;2617.17;2062.81;2056.63;2073.14;2056.60;1274.59;1270.77;1280.97;1270.75;10480.92;4412.94;
24.05.2018;8795.78;8770.94;8841.02;8733.92;3675.82;3673.48;3693.64;3661.59;2614.53;2612.86;2627.21;2604.41;2060.21;2057.21;2071.78;2048.72;1272.98;1271.13;1280.13;1265.88;10481.77;4395.58;
23.05.2018;8902.36;8794.94;8903.22;8766.52;3700.58;3681.26;3700.73;3670.85;2632.15;2618.40;2632.25;2611.00;2080.69;2061.85;2082.51;2055.38;1285.64;1273.99;1286.76;1270.00;10505.46;4405.27;
22.05.2018;8977.46;8936.07;8978.43;8924.32;3731.11;3718.08;3742.48;3715.38;2653.86;2644.59;2661.95;2642.67;2102.26;2091.55;2102.30;2089.24;1298.96;1292.35;1298.99;1290.92;10654.16;4451.10;
18.05.2018;8941.27;8940.46;8982.87;8917.76;3721.07;3719.45;3730.84;3708.75;2646.72;2645.56;2653.66;2637.95;2092.34;2094.25;2103.68;2088.94;1292.83;1294.01;1299.84;1290.73;10662.39;4443.16;
17.05.2018;8960.82;8988.33;8988.33;8937.52;3699.72;3729.44;3729.47;3695.90;2632.14;2653.28;2653.31;2629.42;2095.43;2104.28;2104.28;2092.70;1294.79;1300.25;1300.25;1293.10;10712.36;4456.34;
16.05.2018;8988.26;8973.88;9002.80;8951.28;3713.34;3704.06;3714.61;3700.82;2643.04;2636.44;2643.94;2634.13;2102.41;2099.30;2105.37;2094.38;1299.18;1297.26;1301.01;1294.22;10686.80;4432.81;
15.05.2018;8986.82;8994.22;9016.29;8963.91;3717.50;3725.93;3737.48;3707.53;2646.00;2652.00;2660.22;2638.90;2101.84;2104.94;2110.26;2097.36;1298.83;1300.75;1304.03;1296.06;10717.81;4458.35;
14.05.2018;9010.53;9000.89;9025.88;8979.90;3730.86;3721.36;3730.86;3708.61;2657.55;2650.78;2657.55;2641.70;2109.77;2106.41;2111.23;2101.19;1303.87;1301.80;1304.77;1298.57;10725.91;4457.25;
11.05.2018;8982.45;8993.51;9002.15;8964.91;3707.37;3724.58;3724.58;3705.44;2648.70;2661.00;2661.00;2647.33;2103.25;2105.44;2107.22;2098.97;1300.39;1301.75;1302.84;1297.74;10723.13;4463.33;
09.05.2018;8964.56;8984.10;8984.10;8926.19;3692.40;3700.56;3700.75;3675.81;2642.97;2648.81;2648.95;2631.10;2094.79;2099.89;2099.90;2086.24;1296.54;1299.69;1299.70;1291.24;10694.64;4440.36;
08.05.2018;8939.40;8944.90;8970.67;8913.73;3684.19;3692.21;3696.26;3677.86;2637.10;2642.84;2645.74;2632.57;2091.23;2091.14;2096.76;2083.89;1294.33;1294.27;1297.75;1289.79;10652.07;4431.25;
